,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2102,s807,Movie,Davy Crockett and the River Pirates,Norman Foster,"Fess Parker, Buddy Ebsen, Jeff York, Kenneth Tobey, Clem Bevans, Irvin Ashkenazy",United States,"November 12, 2019",1956,G,81 min,Family,Davy Crockett encounters pirates en route to New Orleans. See details for advisory.
2103,s807,Movie,Davy Crockett and the River Pirates,Norman Foster,"Fess Parker, Buddy Ebsen, Jeff York, Kenneth Tobey, Clem Bevans, Irvin Ashkenazy",United States,"November 12, 2019",1956,G,81 min,Historical,Davy Crockett encounters pirates en route to New Orleans. See details for advisory.
2104,s808,Movie,"Davy Crockett, King of the Wild Frontier",Norman Foster,"Fess Parker, Buddy Ebsen, Basil Ruysdael, Hans Conried, Pat Hogan, Ken Tobey",United States,"November 12, 2019",1955,PG,93 min,Action-Adventure,"Share Davy Crockett's legend, from the frontier to Congress to the Alamo. See details for advisory."
2105,s808,Movie,"Davy Crockett, King of the Wild Frontier",Norman Foster,"Fess Parker, Buddy Ebsen, Basil Ruysdael, Hans Conried, Pat Hogan, Ken Tobey",United States,"November 12, 2019",1955,PG,93 min,Family,"Share Davy Crockett's legend, from the frontier to Congress to the Alamo. See details for advisory."
2106,s808,Movie,"Davy Crockett, King of the Wild Frontier",Norman Foster,"Fess Parker, Buddy Ebsen, Basil Ruysdael, Hans Conried, Pat Hogan, Ken Tobey",United States,"November 12, 2019",1955,PG,93 min,Historical,"Share Davy Crockett's legend, from the frontier to Congress to the Alamo. See details for advisory."
2107,s809,Movie,Day & Night,Teddy Newton,,United States,"November 12, 2019",2010,G,8 min,Animation,"When Day and Night meet each other, sparks fly!"
2108,s809,Movie,Day & Night,Teddy Newton,,United States,"November 12, 2019",2010,G,8 min,Comedy,"When Day and Night meet each other, sparks fly!"
2109,s809,Movie,Day & Night,Teddy Newton,,United States,"November 12, 2019",2010,G,8 min,Family,"When Day and Night meet each other, sparks fly!"
2110,s810,Movie,Decorating Disney: Holiday Magic,,"Whoopi Goldberg, Sofia Carson, Jordan Fisher",United States,"November 12, 2019",2017,TV-PG,42 min,Documentary,Disney Parks become the Merriest Places on Earth.
2111,s810,Movie,Decorating Disney: Holiday Magic,,"Whoopi Goldberg, Sofia Carson, Jordan Fisher",United States,"November 12, 2019",2017,TV-PG,42 min,Family,Disney Parks become the Merriest Places on Earth.
2112,s810,Movie,Decorating Disney: Holiday Magic,,"Whoopi Goldberg, Sofia Carson, Jordan Fisher",United States,"November 12, 2019",2017,TV-PG,42 min,Reality,Disney Parks become the Merriest Places on Earth.
