,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2200,s842,TV Show,Disney's Adventures Of The Gummi Bears,,"Bill Scott, Christian Jacobs, Brett Johnson, David Faustino, Paul Winchell, Jason Marsden",United States,"November 12, 2019",1985,TV-Y7,6 Seasons,Animation,The magical Gummi Bears discover their rich history.
2201,s842,TV Show,Disney's Adventures Of The Gummi Bears,,"Bill Scott, Christian Jacobs, Brett Johnson, David Faustino, Paul Winchell, Jason Marsden",United States,"November 12, 2019",1985,TV-Y7,6 Seasons,Fantasy,The magical Gummi Bears discover their rich history.
2202,s843,TV Show,Disney's Doug,,"Connie Shulman, Doug Preis, Alice Playten, Chris Phillips, Fred Newman, Thomas McHugh",United States,"November 12, 2019",1996,TV-Y7,3 Seasons,Animation,"Doug uses his imagination to navigate through tests of friendship, love, school, and growing up."
2203,s843,TV Show,Disney's Doug,,"Connie Shulman, Doug Preis, Alice Playten, Chris Phillips, Fred Newman, Thomas McHugh",United States,"November 12, 2019",1996,TV-Y7,3 Seasons,Comedy,"Doug uses his imagination to navigate through tests of friendship, love, school, and growing up."
2204,s843,TV Show,Disney's Doug,,"Connie Shulman, Doug Preis, Alice Playten, Chris Phillips, Fred Newman, Thomas McHugh",United States,"November 12, 2019",1996,TV-Y7,3 Seasons,Coming of Age,"Doug uses his imagination to navigate through tests of friendship, love, school, and growing up."
2205,s844,Movie,Disney's Fairy Tale Weddings,Chris Wilson,"Ben Higgins, Lauren Bushnell",,"November 12, 2019",2017,TV-PG,64 min,Family,A look at the magical weddings at Disney Destinations.
2206,s844,Movie,Disney's Fairy Tale Weddings,Chris Wilson,"Ben Higgins, Lauren Bushnell",,"November 12, 2019",2017,TV-PG,64 min,Lifestyle,A look at the magical weddings at Disney Destinations.
2207,s844,Movie,Disney's Fairy Tale Weddings,Chris Wilson,"Ben Higgins, Lauren Bushnell",,"November 12, 2019",2017,TV-PG,64 min,Reality,A look at the magical weddings at Disney Destinations.
2208,s845,Movie,Disney's Fairy Tale Weddings: Holiday Magic,Chris Wilson,"Stephen Boss, Allison Holker",,"November 12, 2019",2017,TV-PG,42 min,Family,Holiday Disney weddings and proposals.
2209,s845,Movie,Disney's Fairy Tale Weddings: Holiday Magic,Chris Wilson,"Stephen Boss, Allison Holker",,"November 12, 2019",2017,TV-PG,42 min,Lifestyle,Holiday Disney weddings and proposals.
2210,s845,Movie,Disney's Fairy Tale Weddings: Holiday Magic,Chris Wilson,"Stephen Boss, Allison Holker",,"November 12, 2019",2017,TV-PG,42 min,Reality,Holiday Disney weddings and proposals.
2211,s846,TV Show,Disney's Hercules: The Animated Series,,"Tate Donovan, Sandra Bernhard, Robert Costanzo, Matt Frewer, Bobcat Goldthwait, French Stewart",United States,"November 12, 2019",1998,TV-Y7,1 Season,Action-Adventure,Follow Herc's many labors during the years he spent training on how to be a hero.
2212,s846,TV Show,Disney's Hercules: The Animated Series,,"Tate Donovan, Sandra Bernhard, Robert Costanzo, Matt Frewer, Bobcat Goldthwait, French Stewart",United States,"November 12, 2019",1998,TV-Y7,1 Season,Animation,Follow Herc's many labors during the years he spent training on how to be a hero.
